,Tweet,Favourites,Compound,Positive,Neutral,Negative
121,#GDP slowdown? #India's oil demand rises most since November's #demonetisation https://t.co/Tqbnr8Lp4e,0,-0.128,0.0,0.87,0.13
122,GDP slowdown? India’s oil demand rises most since November’s demonetisation https://t.co/bQFalcXUpX,0,-0.128,0.0,0.87,0.13
123,demonetisation last year has adversely hit the rural and agrarian economy. https://t.co/FrtLxpcEhp,0,-0.2023,0.0,0.859,0.141
124,#3Novices : Demonetisation for digitisation? Jaitley hails push to cashless economy https://t.co/tigsQob1GR FM said the government was awa…,0,0.0,0.0,1.0,0.0
125,Demonetisation led to great movement towards digitisation: Arun Jaitley https://t.co/n0fZlMamBa,2,0.6249,0.313,0.687,0.0
126,Was it the real reason sad Ji was so furious about #Demonetisation https://t.co/ni3KL2GnJq,0,-0.8334,0.0,0.584,0.416
127,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/WiXnG3Pi6z https://t.co/9dIlmz0WDS",0,0.6249,0.291,0.709,0.0
128,@RenukaJain6 By criticising #Demonetisation those people mocked themselves and their social &amp; political reputation… https://t.co/2KtJlaZVS6,0,-0.6124,0.0,0.722,0.278
129,How #demonetisation crippled bank #lending https://t.co/SkGBt1Y1dy,2,0.0,0.0,1.0,0.0
130,Demonetisation critics?  You can go to Burj Khalifa to jump if Qutab Minar not open 😂 https://t.co/OHoelMMTQZ,17,-0.296,0.0,0.872,0.128
131,"FDs, personal loans during demonetisation at Coop Banks, NBFCs under tax dept lens @IncomeTaxIndia  https://t.co/XaoosrtlQj",0,0.0,0.0,1.0,0.0
132,@TVMohandasPai BJP has done nothing to curb corruption in states ruled by them for 15 yrs nor are they doing it tod… https://t.co/RhCuZQgN8T,0,0.0,0.0,1.0,0.0
133,"5 Oil consumption plunged 5.9 percent in January, the most in 13 years, after Prime Minister Narendra Modi’s demonetisation #economyRJ",4,0.0,0.0,1.0,0.0
134,"@Cisco says jump in business post demonetisation, opens first digital centre. #NewIndia  https://t.co/IIjKGMRjNk",0,0.0,0.0,1.0,0.0
135,1 Oil Demand in India Rises Most Since November's Cash Clampdown. Demonetisation affect over. Growth resumes #economyRJ,17,0.2732,0.144,0.773,0.083
136,@asmariz @sanjayuvacha @sanjayuvacha Are you suggesting farmers were holding cash which rendered use less post Demo… https://t.co/wBcedFfyMd,0,0.0,0.0,1.0,0.0
137,#Demonetisation was an example of that. One decision you took for our good . I request you to take another fearless and bold decision (2/3),0,0.8126,0.296,0.704,0.0
138,Cogent Advisory: https://t.co/R3kcRwemwM,0,0.0,0.0,1.0,0.0
139,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/t1UmlXjmFy https://t.co/QJjSnKV9Jl",1,0.6249,0.291,0.709,0.0
140,"On DigitalMode; Demonetisation led to great movement towards digitisation,believes Arun Jaitley #TransformingIndia https://t.co/ssA5af1TgQ",1,0.6249,0.255,0.745,0.0
141,"@sanjayuvacha @RaisinaSeries Kissan,jawan,common man all are happy with demonetization.jalim journalsit,chor crimin… https://t.co/VY3A4s8rXh",0,0.5719,0.252,0.748,0.0
142,The latest The Demonetization Daily! https://t.co/ARioNblEsh Thanks to @ssambrani #alibaba,0,0.4926,0.262,0.738,0.0
143,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre https://t.co/1gr9ycAunH",0,0.0,0.0,1.0,0.0
144,"Demonetisation and the farmers' protest. For many communities, ""short-term pain"" is fatal, economically and otherwi… https://t.co/jRROq6flfV",0,-0.8316,0.0,0.596,0.404
145,@timesofindia Seems #Demonetisation was not enough to end fake currency and terrorism. Good job Indian Army.,0,-0.7003,0.123,0.551,0.326
146,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/LnCpZ76UTF https://t.co/QRdz3Vahp8",0,0.6249,0.291,0.709,0.0
147,"@pbhushan1 Still waiting for Modi's last fatal mistake: started with Shourie not in cabinet, land acquisition bill… https://t.co/5uCm1jR9eq",0,-0.7096,0.0,0.731,0.269
148,"@ANI_news This is fake news, fake currency ended with #Demonetisation",4,-0.7351,0.0,0.563,0.437
149,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/uMkuaIDLbk https://t.co/diTCqbWepS",0,0.6249,0.291,0.709,0.0
150,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre. https://t.co/FEKluOFzoq",0,0.0,0.0,1.0,0.0
151,@MangoBwoy Demonetization has destroyed FAKE CURRENCY IN OLD 500 &amp; 1000 Notes 😜,1,-0.7925,0.0,0.587,0.413
152,"Cisco growth frm Nov 2016 confirms #DigitalIndia
#Demonetisation led to great movement towards digitisation:Jaitley… https://t.co/8HQcjdso5F",0,0.7717,0.34,0.66,0.0
153,@sgurumurthy Sir still waiting for an article on benefits of demonetization.... You wrote some really fudged data then....no justification,1,0.3818,0.126,0.874,0.0
154,"Demonetisation led to great movement towards digitisation: FM @arunjaitley 
 https://t.co/PBP7W4Dck8 https://t.co/5CnFeYsGU5",0,0.6249,0.291,0.709,0.0
